conclusion_id,conclusion_theme,candidate_scope,claim_text,supporting_priority,supporting_artifact_path,supporting_metric_name,supporting_metric_value,caveat,conclusion_status
C01,no_universal_winner,all,"No single candidate dominates all mandates and latency tiers simultaneously",P1,research/fragility_audit_20260306/artifacts/step3/fragility_cross_summary.csv,delay_4_delta_sharpe,"E0:-0.336 SM:-0.033","Binary vs vol-target tradeoff is fundamental",CONFIRMED
C02,latch_redundant,SM;LATCH,"LATCH is a near-duplicate of SM with no measurable structural or operational differentiation",P1,research/fragility_audit_20260306/artifacts/step2/pairwise_structure_deltas.csv,all_20_metrics,"within noise","Step 2 + Step 3 both confirm",CONFIRMED
C03,latch_redundant,SM;LATCH,"LATCH replay fragility is identical to SM across all 3 disruption classes",P1,research/fragility_audit_20260306/artifacts/step3/pairwise_replay_comparisons.csv,"a_delay_4_delta vs b_delay_4_delta","-0.033 vs -0.033","",CONFIRMED
C04,ema_overlay_value,E0;E0_plus_EMA1D21,"EMA(21d) overlay increases baseline Sharpe (+0.060 harsh) while adding delay fragility (+0.036 worse D4 delta)",P1,results/parity_20260305/eval_ema21d1_vs_e0/results/full_backtest_detail.json,sharpe_harsh,"1.325 vs 1.265","E0_plus still dominates on absolute Sharpe at all tested delay levels",CONFIRMED
C05,ema_overlay_value,E5;E5_plus_EMA1D21,"EMA(21d) overlay increases E5 baseline Sharpe (+0.073 harsh) but creates performance crossover at D3-D4",P1,research/fragility_audit_20260306/artifacts/step3/delay_cross_summary.csv,sharpe_at_D4,"E5:0.776 vs E5_plus:0.753","E5 overtakes E5_plus beyond D2-D3 delay",CONFIRMED
C06,e5_plus_best_lt1,E5_plus_EMA1D21,"E5_plus_EMA1D21 is the highest-performing candidate under LT1 (Sharpe 1.430 harsh)",P1,results/parity_20260306/eval_e5_ema21d1_vs_e0/results/full_backtest_detail.json,sharpe_harsh,1.430,"WFO 5/8 is weaker than E0_plus 6/8; fragile beyond LT1",CONFIRMED
C07,e0_plus_most_defensible,E0_plus_EMA1D21,"E0_plus_EMA1D21 is the only strategy to pass ALL Tier 1 validation gates including WFO 6/8",P1,results/parity_20260305/PARITY_REPORT.md,wfo_pass_rate,6/8,"bootstrap Sharpe_med=0.562 is lowest of binary class",CONFIRMED
C08,e0_best_degraded,E0,"E0 is the least delay-fragile binary candidate (D4 delta = -0.336 vs -0.372 to -0.517 for peers)",P1,research/fragility_audit_20260306/artifacts/step3/fragility_cross_summary.csv,delay_4_delta_sharpe,-0.336,"Still loses 29.5% of Sharpe at D4 — not operationally robust",CONFIRMED
C09,sm_only_manual,SM,"SM is the only candidate viable under LT3 / manual execution (4% Sharpe loss at D4 vs 29-41% for binary)",P1,research/fragility_audit_20260306/artifacts/step3/fragility_cross_summary.csv,delay_4_delta_sharpe,-0.033,"CAGR 16.0% is the price of operational robustness",CONFIRMED
C10,binary_not_manual,E0;E5;E0_plus_EMA1D21;E5_plus_EMA1D21,"No binary candidate is acceptable for manual or semi-manual deployment (all lose >29% Sharpe at D4)",P1,research/fragility_audit_20260306/artifacts/step3/delay_cross_summary.csv,delay_4_sharpe_pct_loss,"29.5% to 40.7%","",CONFIRMED
C11,all_home_run,all,"All 6 candidates are home-run dependent in unit-size view (zero-cross within 6-14 trades)",P1,research/fragility_audit_20260306/artifacts/step2/cross_strategy_style_labels.csv,unit_style_label,home-run,"SM/LATCH are hybrid in native view due to vol-target sizing",CONFIRMED
C12,random_miss_harmless,all,"Random missed entries are nearly harmless (CV 0.32-1.51% at K=1; 100% of draws Sharpe-positive)",P1,research/fragility_audit_20260306/artifacts/step3/random_miss_cross_summary.csv,pct_sharpe_positive,100.0,"",CONFIRMED
C13,delay_dominant_axis,all,"Entry delay is the dominant operational fragility axis (not random miss or outage)",P1,research/fragility_audit_20260306/reports/step3_report.md,section_7,"binary: 29-41% loss at D4 vs outage: 5.6%","",CONFIRMED
C14,step5_not_needed,all,"Step 5 is not needed for research conclusion — only for live sign-off hardening",P2,research/fragility_audit_20260306/artifacts/step4/step4_summary.json,step5_necessity_verdict,NOT_NEEDED,"Step 5 could refine confidence but not change ranking",CONFIRMED
C15,performance_fragility_tradeoff,E0;E5;E0_plus_EMA1D21;E5_plus_EMA1D21,"Binary candidates show perfect inverse correlation between baseline Sharpe and delay robustness",P1,research/fragility_audit_20260306/artifacts/step3/fragility_cross_summary.csv,"baseline_sharpe vs delay_4_delta","r=-1.0 across 4 binary candidates","Fundamental tradeoff — not an artifact",CONFIRMED
C16,outage_bounded,all,"Single-week outages cause moderate bounded degradation (5.6-9.4% Sharpe loss worst-case)",P1,research/fragility_audit_20260306/artifacts/step3/outage_cross_summary.csv,sharpe_worst_168h,"0.739-1.199","No candidate drops below Sharpe 0.7",CONFIRMED
C17,skip_after_losses_harmful,all,"Skipping after 2 consecutive losses is universally harmful (delta Sharpe -0.159 to -0.263)",P1,research/fragility_audit_20260306/artifacts/step2/cross_strategy_skip_after_n_summary.csv,delta_sharpe_n2,"-0.159 to -0.263","All 6 candidates affected",CONFIRMED
